Tool ID;Dataset;Prompt;LLM Response;Relatedness;Error;Clarity;Coverage
1;Human Stress Prediction;What are the main characteristics of the dataset?;Algorithm 1 - Question 1;3;1;1;3
2;Human Stress Prediction;What are the main characteristics of the dataset?;Algorithm 2 - Question 1;4;1;4;5
3;Human Stress Prediction;What are the main characteristics of the dataset?;Algorithm 3 - Question 1;2;3;1;1
1;Human Stress Prediction;Are there any missing values? If so, in which columns and how many?;Algorithm 1 - Question 2;4;4;2;2
2;Human Stress Prediction;Are there any missing values? If so, in which columns and how many?;Algorithm 2 - Question 2;5;1;5;5
3;Human Stress Prediction;Are there any missing values? If so, in which columns and how many?;Algorithm 3 - Question 2;5;1;5;1
1;Human Stress Prediction;Can you identify any outliers in the data?;Algorithm 1 - Question 3;2;3;1;1
2;Human Stress Prediction;Can you identify any outliers in the data?;Algorithm 2 - Question 3;5;2;5;5
3;Human Stress Prediction;Can you identify any outliers in the data?;Algorithm 3 - Question 3;3;5;3;1
1;Human Stress Prediction;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 1 - Question 4;2;3;1;2
2;Human Stress Prediction;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 2 - Question 4;5;1;5;5
3;Human Stress Prediction;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 3 - Question 4;5;1;4;4
1;Human Stress Prediction;Make a complete EDA of my dataset;Algorithm 1 - Question 5;5;1;3;4
2;Human Stress Prediction;Make a complete EDA of my dataset;Algorithm 2 - Question 5;5;2;5;5
3;Human Stress Prediction;Make a complete EDA of my dataset;Algorithm 3 - Question 5;5;4;2;2
1;Fetal Health Classification;What are the main characteristics of the dataset?;Algorithm 1 - Question 1;1;5;1;1
2;Fetal Health Classification;What are the main characteristics of the dataset?;Algorithm 2 - Question 1;5;1;5;5
3;Fetal Health Classification;What are the main characteristics of the dataset?;Algorithm 3 - Question 1;2;4;2;2
1;Fetal Health Classification;Are there any missing values? If so, in which columns and how many?;Algorithm 1 - Question 2;1;5;1;1
2;Fetal Health Classification;Are there any missing values? If so, in which columns and how many?;Algorithm 2 - Question 2;5;1;5;5
3;Fetal Health Classification;Are there any missing values? If so, in which columns and how many?;Algorithm 3 - Question 2;5;5;2;2
1;Fetal Health Classification;Can you identify any outliers in the data?;Algorithm 1 - Question 3;1;5;1;1
2;Fetal Health Classification;Can you identify any outliers in the data?;Algorithm 2 - Question 3;5;1;5;5
3;Fetal Health Classification;Can you identify any outliers in the data?;Algorithm 3 - Question 3;5;4;2;2
1;Fetal Health Classification;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 1 - Question 4;3;3;1;3
2;Fetal Health Classification;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 2 - Question 4;5;1;4;5
3;Fetal Health Classification;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 3 - Question 4;4;5;1;3
1;Fetal Health Classification;Make a complete EDA of my dataset;Algorithm 1 - Question 5;4;1;2;3
2;Fetal Health Classification;Make a complete EDA of my dataset;Algorithm 2 - Question 5;5;2;4;5
3;Fetal Health Classification;Make a complete EDA of my dataset;Algorithm 3 - Question 5;3;3;1;3
1;Diabetes Health Indicators ;What are the main characteristics of the dataset?;Algorithm 1 - Question 1;4;1;3;3
2;Diabetes Health Indicators ;What are the main characteristics of the dataset?;Algorithm 2 - Question 1;5;1;4;5
3;Diabetes Health Indicators ;What are the main characteristics of the dataset?;Algorithm 3 - Question 1;3;4;2;2
1;Diabetes Health Indicators ;Are there any missing values? If so, in which columns and how many?;Algorithm 1 - Question 2;1;5;1;1
2;Diabetes Health Indicators ;Are there any missing values? If so, in which columns and how many?;Algorithm 2 - Question 2;5;1;5;5
3;Diabetes Health Indicators ;Are there any missing values? If so, in which columns and how many?;Algorithm 3 - Question 2;5;1;5;1
1;Diabetes Health Indicators ;Can you identify any outliers in the data?;Algorithm 1 - Question 3;5;1;4;4
2;Diabetes Health Indicators ;Can you identify any outliers in the data?;Algorithm 2 - Question 3;5;1;4;5
3;Diabetes Health Indicators ;Can you identify any outliers in the data?;Algorithm 3 - Question 3;5;3;4;1
1;Diabetes Health Indicators ;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 1 - Question 4;5;1;3;4
2;Diabetes Health Indicators ;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 2 - Question 4;5;1;5;5
3;Diabetes Health Indicators ;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 3 - Question 4;5;2;2;3
1;Diabetes Health Indicators ;Make a complete EDA of my dataset;Algorithm 1 - Question 5;1;5;2;1
2;Diabetes Health Indicators ;Make a complete EDA of my dataset;Algorithm 2 - Question 5;5;1;5;5
3;Diabetes Health Indicators ;Make a complete EDA of my dataset;Algorithm 3 - Question 5;5;3;2;3
1;Lung Cancer;What are the main characteristics of the dataset?;Algorithm 1 - Question 1;5;2;3;3
2;Lung Cancer;What are the main characteristics of the dataset?;Algorithm 2 - Question 1;5;1;4;5
3;Lung Cancer;What are the main characteristics of the dataset?;Algorithm 3 - Question 1;3;5;3;3
1;Lung Cancer;Are there any missing values? If so, in which columns and how many?;Algorithm 1 - Question 2;1;5;3;1
2;Lung Cancer;Are there any missing values? If so, in which columns and how many?;Algorithm 2 - Question 2;5;1;5;5
3;Lung Cancer;Are there any missing values? If so, in which columns and how many?;Algorithm 3 - Question 2;3;4;3;2
1;Lung Cancer;Can you identify any outliers in the data?;Algorithm 1 - Question 3;5;1;2;3
2;Lung Cancer;Can you identify any outliers in the data?;Algorithm 2 - Question 3;5;2;4;5
3;Lung Cancer;Can you identify any outliers in the data?;Algorithm 3 - Question 3;4;3;3;1
1;Lung Cancer;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 1 - Question 4;5;3;3;3
2;Lung Cancer;Generate relevant visualizations that help me understand the distribution of the data;Algorithm 2 - Question 4;5;1;4;5
